File Name,Fashion Sentence
00000001.txt,"""oh, there are politicians in bulgaria, are there?"" asked the
senator, whose ideas of the roumanian and bulgarian
neighbourhood were vague, and who had a general notion that all
such people lived in tents, wore sheepskins with the wool inside,
and ate curds: ""oh, they have politicians there!"
00000001.txt,"then a pretty woman, with blue eyes and
blonde hair, dressed in black, and leading a little girl by the hand,
came on board, and carrington went to shake hands with her."
00000001.txt,"""you want half-tones!"" said madeleine to lord skye: ""are there not
half-tones enough to suit you on the walls of this house?"
00000001.txt,"mr. carrington,"" drawled miss dare; ""i do not need
it, and it does not become your style."
00000001.txt,"on the other hand, he sent to a shoemaker in
alexandria to come and measure him for shoes."
00000001.txt,"only fools and theorists imagine that our
society can be handled with gloves or long poles."
00000001.txt,"she declared herself to be the moral image of martha washington,
and she started a discussion whether carrington or lord dunbeg
would best suit her in the r�le of the general.

"
00000001.txt,"he
had been painted on many thousand yards of cotton sheeting,
either with a terrific sledge-hammer, smashing the skulls (which
figured as paving-stones) of his political opponents, or splitting by
gigantic blows a huge rock typical of the opposing party."
00000001.txt,"he could be coarse enough to suit even the
president's palate, and ratcliffe was not behindhand."
00000001.txt,"hence, when mrs. lightfoot lee was announced, and the two
sisters were ushered into the presidential parlour, she put on a
coldly patronizing air, and in reply to madeleine's hope that she
found washington agreeable, she intimated that there was much in
washington which struck her as awful wicked, especially the
women; and, looking at sybil, she spoke of the style of dress in
this city which she said she meant to do what she could to put a
stop to."
00000001.txt,"at these remarks, made with an air
and in a temper quite unmistakable, madeleine became
exasperated beyond measure, and said that ""washington would be
pleased to see the president do something in regard to
dress-reform--or any other reform;"" and with this allusion to the
president's ante-election reform speeches, mrs. lee turned her
back and left the room, followed by sybil in convulsions of
suppressed laughter, which would not have been suppressed had
she seen the face of their hostess as the door shut behind them, and
the energy with which she shook her head and said: ""see if i don't
reform you yet, you--jade!""

mrs. lee gave ratcliffe a lively account of this interview, and he
laughed nearly as convulsively as sybil over it, though he tried to
pacify her by saying that the president's most intimate friends
openly declared his wife to be insane, and that he himself was the
person most afraid of her."
00000001.txt,"indeed he
knew better than any man how presidents were made, and he had
his own opinions in regard to the process as well as the fabric
produced."
00000001.txt,"he has an indiana
friend, who, i am told, wanted to be postmaster at indianapolis, but
as this did not suit the politicians, he was bought off at the
exorbitant price of the spanish mission."
00000001.txt,"""cats that go ratting, don't wear gloves,"" replied gore, who always
carried a spanish proverb in his pocket."
00000001.txt,"one march afternoon she was
sitting by her fire, with an english review in her hand, trying to
read the last symposium on the sympathies of eternal punishment,
when her servant brought in a card, and mrs. lee had barely time
to read the name of mrs. samuel baker when that lady followed
the servant into the room, forcing the countersign in so effective
style that for once madeleine was fairly disconcerted."
00000001.txt,"she
was, when seen without her veil, a showy woman verging on forty,
decidedly large, tall, over-dressed even in mourning, and with a
complexion rather fresher than nature had made it.

"
00000001.txt,"the woman was showy, handsome in
a coarse style, and perfectly presentable."
00000001.txt,"and occasionally, when carrington
could spare the time, he went as her guide and protector in these
country excursions; for every virginian, however out at elbows,
has a horse, as he has shoes or a shirt.

"
00000001.txt,"madeleine
dissected her own feelings and was always wondering whether
they were real or not; she had a habit of taking off her mental
clothing, as she might take off a dress, and looking at it as though
it belonged to some one else, and as though sensations were
manufactured like clothes."
00000001.txt,"she was in imagination rushing with him down the valley of
virginia on the heels of our flying army, or gloomily toiling back
to the potomac after the bloody days at gettysburg, or watching
the last grand deb�cle on the road from richmond to appomattox.
"
00000001.txt,"he felt that ratclife had fairly out-generaled him, and he was at
his wits' end to know what card he could play that would not lead
directly into ratcliffe's trump suit."
00000001.txt,"and when the evening came,
carrington took his hat and walked off to call upon mrs. lee.

"
00000001.txt,"madeleine was dramatically mending an open-work silk stocking,
a delicate and difficult task which required her whole mind."
00000001.txt,"new
york also gave a ball at which the princess appeared in an
ill-fitting black silk dress with mock lace and jet ornaments,
among several hundred toilets that proclaimed the refined
republican simplicity of their owners at a cost of various hundred
thousand dollars."
00000001.txt,"she set her at work on her dress several days
before there was any occasion for it, and this famous costume had
to be taken out, examined, criticised, and discussed with unending
interest."
00000001.txt,"she talked about the dress, and the princess, and the ball,
till her tongue clove to the roof of her mouth, and her brain refused
to act."
00000001.txt,"one afternoon in early june of the preceding summer, mr. worth
had received a letter on the part of the reigning favourite of the
king of dahomey, directing him to create for her a ball-dress that
should annihilate and utterly destroy with jealousy and despair the
hearts of her seventy-five rivals; she was young and beautiful;
expense was not a consideration."
00000001.txt,"an imperious order brought to his
private room every silk, satin, and gauze within the range of pale
pink, pale crocus, pale green, silver and azure."
00000001.txt,"her bed, her low couch, her little tables, her
chintz arm-chairs, were covered with portions of the divinity,
down to slippers and handkerchief, gloves and bunches of fresh
roses."
00000001.txt,"young, happy, sparkling with consciousness of
youth and beauty, sybil stood, hebe anadyomene, rising from the
foam of soft creplisse which swept back beneath the long train of
pale, tender, pink silk, fainting into breadths of delicate primrose,
relieved here and there by facings of june green--or was it the blue
of early morning?"
00000001.txt,"mrs. lee toiled long and earnestly over her sister's toilet, for had
not she herself in her own day been the best-dressed girl in new
york?--at least, she held that opinion, and her old instincts came to
life again whenever sybil was to be prepared for any great
occasion."
00000001.txt,"schneidekoupon,
who was proud of his easy use of the latest artistic jargon, looked
with respect at mrs. lee's silver-gray satin and its venetian lace,
the arrangement of which had been conscientiously stolen from a
picture in the louvre, and he murmured audibly, ""nocturne in
silver-gray!""--then, turning to sybil--""and you?"
00000001.txt,"jacobi, after a close scrutiny, said that he took
the liberty of an old man in telling them that they were both
dressed absolutely without fault."
00000001.txt,"each da�s had a canopy of
red velvet, one bearing the lion and the unicorn, the other the
american eagle."
00000001.txt,"she had, too, the ill-luck to make one or two remarks which
appealed to some hidden sense of humour in the princess, who
laughed and, in the style of royal personages, gave her to
understand that she would like more amusement of the same sort.
"
00000001.txt,"if
there was a more perfect dress, madeleine knew nothing of
dressing."
00000001.txt,"his shirts no longer
protruded in the wrong places, nor were his shirt-collars frayed or
soiled."
00000001.txt,"ratcliffe felt the sting, and it started him from his
studied calmness of manner.

rising from his chair he stood on the hearthrug before mrs. lee,
and broke out upon her with an oration in that old senatorial voice
and style which was least calculated to enlist her sympathies:

"
00000001.txt,"ratcliffe saw that he had gained an advantage, and, sitting down
nearer to her, he dropped his voice and urged his suit still more
energetically:

""you did me justice then; why not do it now?"
00000001.txt,"the sound of
your voice--the touch of your hand--even the rustle of your
dress--are like wine to me."
00000001.txt,"i wore a lovely
new dress, and was a great success, i assure you."
00000003.txt,"through a row of button-woods on the northern skirt of the
village is seen a square, lap-streaked building, painted a
disagreeable brown, and surrounded on three sides by a platform,--one
of seven or eight similar stations strung like indian heads on a
branch thread of the great sagamore railway.

"
00000003.txt,"this finger, gleaming, motionless, and awful in its precision,
points to the body of old mr. lemuel shackford, who lies there dead
in his night-dress, with a gash across his forehead.

in the darkness of that summer night a deed darker than the night
itself had been done in stillwater.






"
00000003.txt,"then, when all was over, the imprisoned fiend in the boilers gave
a piercing shriek; the leather bands slipped on the revolving drums,
the spindles leaped into life again, and the old order of things was
reinstated,--outwardly, but not in effect.

in general, when the grave closes over a man his career is ended.
"
00000003.txt,"michael hennessey sat down his beer-mug with an air of
argumentative disgust, and drew one sleeve across his glistening
beard.

"
00000003.txt,"""

""so he is if he has any brains under his hat,"" returned snelling.
"
00000003.txt,"mr. perkins had spoken in his court-room tone of voice, with one
hand thrust into his frilled shirt-bosom."
00000003.txt,"""it's only some of jeff stavers's nonsense.""

""no nonsense at all,"" said the new-comer, as he shook the heavy
beads of rain from his felt hat."
00000003.txt,"when the door behind
him softly opened and a young man, whose dress covered with
stone-dust indicated his vocation, appeared on the threshold."
00000003.txt,"the oldest and
most pictorial thing in stillwater is probably the marble yard,
around three sides of which the village may be said to have sprouted
up rankly, bearing here and there an industrial blossom in the shape
of an iron-mill or a cardigan-jacket manufactory."
00000003.txt,"the strict devotion to his personal interests which had enabled
mr. shackford to acquire a fortune thus early caused him to look
askance at a penniless young kinsman with stockings down at heel, and
a straw hat three sizes too large for him set on the back of his
head."
00000003.txt,"""there's a poor lawyer saved,"" muttered the old man, taking down
his overcoat from a peg behind the door, and snapping off a shred of
lint on the collar with his lean forefinger."
00000003.txt,"but it's going to be rather difficult
to suit your tastes."
00000003.txt,"if you only had a drop of _his_ blood in your veins!""
and mr. shackford waved his head towards a faded portrait of a
youngish, florid gentleman with banged hair and high coat-collar,
which hung against the wall half-way up the stair-case."
00000003.txt,"you can't
start a subscription paper, and play with shipwrecked mariner, you
know.""

""no, i hardly care to do that,"" said richard, with a good-natured
laugh, ""though no poor devil ever had a better outfit for the
character."
00000003.txt,"mr. shackford stood with his neck craned over the frayed edge of
his satin stock and one hand resting indecisively on the banister,
and richard on the step above, leaning his back against the blighted
flowers of the wall-paper."
00000003.txt,"suddenly a slim dark fellow, who
had retained his paper cap and leather apron, halted and thrust forth
a horny hand."
00000003.txt,"certainly richard looked very seedy in his suit of
slop-shop clothes.

"
00000003.txt,"the
older hands looked upon a fresh apprentice in the yard with much the
same favor as workingmen of the era of jacquard looked upon the
introduction of a new piece of machinery."
00000003.txt,"he went as meanly dressed as a tramp, and as careless of contemporary
criticism; yet clear down in his liver, or somewhere in his anatomy,
he nourished an odd abstract pride in the family shackford."
00000003.txt,"it was therefore with a disgust entirely apart from the
hatred of slocum or regard for richard that the old man exclaimed, ""a
shackford a miserable marble-chipper!""

""that is better than hanging around the village with my hands in
my pockets."
00000003.txt,"with one shirt and a lot of bad sailor habits.""

""my one shirt is my only very bad habit,"" said richard, with a
laugh,--he could laugh now,--""and"
00000003.txt,"you
can understand,"" growled mr. shackford, reaching out for his straw
hat, which he put on and crushed over his brows, ""i don't keep a
boarding-house for slocum's hands."
00000003.txt,"the idea smiled so pleasantly in
richard's fancy that he pushed the plate away from him impatiently,
and picked up his hat which lay on the floor beside the chair.

"
00000003.txt,"""

""i thought you couldn't mean me,"" said william, thrusting his
hands into the pockets of his monkey-jacket, and sauntering off in
the direction of the stillwater hotel, where there was a choice
company gathered, it being saturday night, and the monthly meeting of
the union.

"
00000003.txt,"five or six men, who had worked
elsewhere at this branch, were turned over to the new department,
with stevens as foreman and richard as designer."
00000003.txt,"he was a grotesque figure now, in his napless hat and
broken-down stock."
00000003.txt,"the metal button-holes on his ancient waistcoat
had worn their way through the satin coverings, leaving here and
there a sparse fringe around the edges, and somehow suggesting little
bald heads."
00000003.txt,"richard looked puzzled for a moment, and then exclaimed,
""margaret, you have got on a long dress!""

"
00000003.txt,"margaret asked, promptly stopping
the needle in the hem.

"
00000003.txt,"margaret gravely rolled up her sleeve to the elbow, and
contemplated the hand and wrist critically.

"
00000003.txt,"that long dress, too!"
00000003.txt,"""imagine him,"" he cried,--""imagine
methuselah in his eight or nine hundredth year, dressed in his
customary bridal suit, with a sprig of century-plant stuck in his
button-hole!""

""richard,"" said margaret solemnly, ""you shouldn't speak jestingly
of a scriptural character."
00000003.txt,"i am interested in trivial matters,--in the
weather, in my spring hat, in what you are going to do next, and the
like."
00000003.txt,"they used to talk
of a ship that got away from charleston with a cargo of cotton that
netted the share-holders upwards of two hundred thousand dollars."
00000003.txt,"among the exotics in stillwater, which even boasted a featureless
celestial, who had unobtrusively extinguished himself with a
stove-pipe hat, torrini was the only figure that approached
picturesqueness."
00000003.txt,"in this mood he lets himself be flown away by the
breath of some loud-mouthed demagogue, who has no interest in the
matter beyond hearing his own talk and passing round the hat after
the meeting is over."
00000003.txt,"as dexter described it,
""han-lin coiled up his pig-tail, put forty grains of rice in a yallar
bag,--enough to last him a month!--and toddled off in his two-story
wooden shoes."""
00000003.txt,"in his flapping
linen duster, for the weather was very sultry now, mr. shackford was
seen darting excitedly from street to street and hovering about the
feverish crowds, like the stormy petrel wheeling on the edges of a
gale."
00000003.txt,"knots of beetle-browed men, no longer in holiday gear, but
chiefly in their shirt-sleeves, collected from time to time at the
head of the main street, and glowered threateningly at the single
policeman pacing the porch of the tavern."
00000003.txt,"richard sauntered down
there, with his hands in his pockets."
00000003.txt,"on the morning and at the moment when mary hennessey was pushing
open the scullery door of the house in welch's court, and was about
to come upon the body of the forlorn old man lying there in his
night-dress, richard sat eating his breakfast in a silent and
preoccupied mood."
00000003.txt,"richard caught up his hat from a table, and hurried to welch's
court."
00000003.txt,"muttered mr. slocum, as he watched mr. taggett passing from the
office with his hat in his hand."
00000003.txt,"""

""that is perfectly understood,"" returned mr. taggett, drawing a
narrow red note-book from the inner pocket of his workman's blouse,
and producing at the same time a small nickel-plated door-key."
00000003.txt,"with a gesture of repulsion, as
if some such fancy had flitted through his mind, mr. slocum tossed
the note-book on the desk in front of him, and stood a few minutes
moodily watching the _reflets_ of the crinkled leather as the
afternoon sunshine struck across it."
00000003.txt,"then he stole through the marble yard into the
silent street, and hurried home, carrying two small articles
concealed under his blouse."
00000003.txt,"that the partially consumed match found on the
scullery floor when the body was discovered (a style of match not
used in the house in welch's court) completes the complement of a box
of safety-matches belonging to richard shackford, and hidden in a
closet in his workshop.

"
00000003.txt,"peters reached out a hand to take richard's
leather bag."
00000003.txt,"in a small
morocco case in one of the pockets was a heavy plain gold ring for
margaret, and not for anything in the world would richard have
allowed any one else to carry the bag.

after a brisk five minutes' walk the two emerged upon a broad
street crossing their path at right angles."
00000003.txt,"he unfastened the leather bag and took out
the ring."
00000003.txt,"then he had carelessly
thrust the paper into one of his pockets and continued his directions
to the men."
00000003.txt,"the explosion of the old lawyer's wrath was so
unexpected that justice beemis, who had dropped in to make the
disclosures and talk the matter over informally, clutched at his
broad-brimmed panama hat and precipitately retreated from the office.
"
00000003.txt,"was there no spot in stillwater where a broken man could hide
himself long enough to collect his senses?

with his hands thrust convulsively into the pockets of his
sack-coat, richard turned down a narrow passage-way fringing the rear
of some warehouses."
00000003.txt,"as he hurried along aimlessly his fingers
encountered something in one of his pockets."
00000003.txt,"on a peg in the
front hall hung his cousin's napless beaver hat, satirically ready to
be put on; in the kitchen closet a pair of ancient shoes, worn down
at the heel and with taps on the toe, had all the air of intending to
step forth."
00000003.txt,"the shoes had been carefully blacked, but a thin skin of
mould had gathered over them."
00000003.txt,"that a man's hat
should outlast the man, and have a jaunty expression of triumph!"
00000003.txt,"that
a dead man's shoes should mimic him!

"
00000003.txt,"at the rustle of her dress richard
turned, and hastened towards her.

"
00000013.txt,"she was very
pretty and very young and very ill-dressed--her costume a bucolic
travesty on prevailing modes.  "
00000013.txt,"she was prettier than before, and worse dressed.  "
00000013.txt,"she wore a
blue, much-ruffled muslin and a wide collar made of imitation lace.
"
00000013.txt,"she had tucked her sleeves up to her elbow with a band and bow of black
velvet, and her round, smooth young arms were adorable.  "
00000013.txt,"""how startlingly pretty, in spite of
the cotton lace and the dreadful polonaise!""

she touched her lightly on the shoulder.

"
00000013.txt,"and then, with a delicate glance down over
her, she said--""it is your dress that makes you fancy so.  "
00000013.txt,"miss ferrol felt sure she would appear, and had, indeed, dressed
herself in momentary expectation of hearing the knock.

"
00000013.txt,"""is this dress very short-waisted?"""
00000013.txt,"if you were dressed as i am,""--pausing to look her
over from head to foot--""ah!"""
00000013.txt,"there was a cream-colored evening-dress of soft, thick, close-clinging
silk of some antique-modern sort; it had golden fringe, and golden
flowers embroidered upon it.

"
00000013.txt,"she laced up the back of the dress with the slender, golden
cords; she arranged the antique drapery which wound itself around in
close swathing folds.  "
00000013.txt,"there was not the shadow of a wrinkle from
shoulder to hem: the lovely young figure was revealed in all its beauty
of outline.  "
00000013.txt,"only let me dress you as i choose, and then take care that
you say nothing whatever about your past life.  "
00000013.txt,"he will think you are
divine--when you are dressed as i shall dress you."
00000013.txt,"""then,"" said miss ferrol, wondering at an unexpected sense of
discomfort in herself, ""i will dress you for supper now.  "
00000013.txt,"she had looked at herself long
and steadily after she had been dressed, and when she turned away from
the glass she held her head a trifle more erect, and her cheeks had
reddened.  "
00000013.txt,"he strolled from one end to the other with his hands thrust
in his coat pockets.  "
00000013.txt,"she had a black
velvet ribbon around her lithe waist, a rose in her bosom where the
fichu crossed, and a broad gainsborough hat upon her head.  "
00000013.txt,"we shall be drenched
in half an hour.""

ferrol looked at her white dress and the little frilled fichu, which
was her sole protection.

"
00000013.txt,"he did not
know her at first in her fanciful-simple dress and her gainsborough
hat.  "
00000013.txt,"he was not used to that style of thing, believing that it
belonged rather to the world of pictures.  "
00000013.txt,"adding, cheerfully, ""how ye've serprised me!""

then he took in afresh the change in her dress.  "
00000013.txt,"""why, ye've got a new dress on!"""
00000013.txt,i am not worthy to kiss his shoes.  
00000013.txt,"if it was me as hed to be altered--made more moderner, an' to know
more, an' to hev more style--i'm afeared thar'd be a heap o' trouble.
style didn't never seem to come nat'ral to me, somehow.  "
00000013.txt,"thar aint no style to 'em.
"
00000013.txt,"them rooms to the springs, now, they've got style to 'em.  "
00000013.txt,"an' style--whar thar's young folks, thet's what's
wanted--style."
00000013.txt,"""we kin hev it
as soon as not--'n' seems ter me thar's a heap o' style to 'em."
00000013.txt,"""oh, father!""

""look at 'em, louisianny,"" he persisted, gently, ""an' see if they suit
ye.  "
00000013.txt,"thar was a young woman thar as was dressed
purtier than any of 'em.  "
00000013.txt,"she hed on a dress that took my fancy.
"
00000013.txt,"an' she laughed some, an' said it was
velvet, an' she'd got it to some store in new york city.  "
00000013.txt,"an' i asked
her if she'd write it down; i'd a little gal at home i wanted a dress
off'n it fer--an' then, someways, we warmed up, an' i ses to her, 'she
aint like me.  "
00000013.txt,"she looked at the rolls of silk and the laces and feminine extras with
a bewildered feeling.

"
00000013.txt,"do they suit ye, louisianny?""

""i should be very hard to please if they didn't,"" she answered.  "
00000013.txt,"""

""only maybe?"" said the girl, ""only maybe, father?""

she dropped the roll of silk she had been holding and went to him.  "
00000013.txt,"she held the
dress materials up to her waist and neck to see how the colors became
her; she tried on laces and sacques and furbelows and the hats which
were said to have come from paris.

"
00000013.txt,"""

when she reached a box of long kid gloves at the bottom, she burst into
such a shrill laugh that her father was startled.  "
00000013.txt,"i can wear them with the cream-colored silk
and cashmere at--at a festival!""

when she had looked at everything, the rag carpet was strewn with her
riches,--with fashionable dress materials, with rich and delicate
colors, with a hundred feminine and pretty whims.

"
00000013.txt,"a-lookin' at it from yere, now,"" with a wide sweep of his
hand toward the improvements, ""ye kin see how much style thar is to it.
seems to me thet the--the mountains now, they look better.  "
00000013.txt,"ianthy,
fer instants--ianthy she wouldn't sca'cely know it was home--thar's so
much style to it."
00000013.txt,"she looked white and slender in her black dress;
her hands were folded palm to palm under her check, and her eyes were
wide open.

"
00000013.txt,"""

louisiana removed her hat and cloak and gave them to mrs. nance.  "
00000013.txt,"his heart beat fast, too, and it beat faster still when he noted her
black dress and saw how pale and slight she looked in it.  "
00000015.txt,"and that one
behind in the fawn-skin leggings and shirt of birds' skins is an indian
queen."
00000015.txt,"there were the forts, the military bakery, the
hospitals, the plaza, the almonaster stores, and the busy rue toulouse;
and, for the rest of the town, a pleasant confusion of green tree-tops,
red and gray roofs, and glimpses of white or yellow wall, spreading back
a few hundred yards behind the cathedral, and tapering into a single
rank of gardened and belvedered villas, that studded either horn of the
river's crescent with a style of home than which there is probably
nothing in the world more maternally homelike.

"
00000015.txt,"he seemed to awake somewhere between heaven and earth,
reclining in a gorgeous barge, which was draped in curtains of
interwoven silver and silk, cushioned with rich stuffs of every
beautiful dye, and perfumed _ad nauseam_ with orange-leaf tea."
00000015.txt,"i saw that same old man, at a quadroon ball a
few years ago, walk up to the handsomest, best dressed man in the
house, a man with a skin whiter than his own,--a perfect gentleman as to
looks and manners,--and without a word slap him in the face."
00000015.txt,"by and by the behavior of the horse indicated the near presence of a
stranger; and the next moment the rider drew rein under an immense
live-oak where there was a bit of paling about some graves, and
raised his hat.

"
00000015.txt,"he stooped quickly to pick up his hat, and,
as he rose again and looked into his listener's face, the respectful,
unobtrusive sympathy there expressed went directly to his heart.

"
00000015.txt,"he found nothing then, but next
morning came upon a small, single-story building in the rue
royale,--corner of conti,--which he thought would suit his plans."
00000015.txt,"a strong,
clear, olive complexion; features that were faultless (unless a
woman-like delicacy, that was yet not effeminate, was a fault); hair _en
queue_, the handsomer for its premature streakings of gray; a tall, well
knit form, attired in cloth, linen and leather of the utmost fineness;
manners castilian, with a gravity almost oriental,--made him one of
those rare masculine figures which, on the public promenade, men look
back at and ladies inquire about.

"
00000015.txt,"that is one style of men governor
claiborne is going to have on his hands."
00000015.txt,"in his dress, which
was noticeably soiled, the fashions of three decades were hinted at; he
seemed to have donned whatever he thought his friends would most have
liked him to leave off.

"
00000015.txt,"""

he presented a small, leather-covered case, evidently containing some
optical instrument."
00000015.txt,"""_per_ z.f.""

there was a short french postscript on the opposite page signed only by
m. zenon francois, explaining that he, who had allowed them in the past
to address him as their landlord and by his name, was but the landlord's
agent; that the landlord was a far better-dressed man than he could
afford to be; that the writing opposite was a notice for them to quit
the premises they had rented (not leased), or pay up; that it gave the
writer great pain to send it, although it was but the necessary legal
form and he only an irresponsible drawer of an inadequate salary, with
thirteen children to support; and that he implored them to tear off and
burn up this postscript immediately they had read it.

"
00000015.txt,"she began to make great show of unfastening
her dress.

"
00000015.txt,"well, then!""

the daughter proposed to go to the kitchen and tell alphonsina to put on
her shoes.

"
00000015.txt,"on it were, here and there in places, white mats woven of bleached
palmetto-leaf."
00000015.txt,"a dwarf congo woman, as black as
soot, had ushered her in, and, having barred the door, had disappeared,
and now the mistress of the house entered.

february though it was, she was dressed--and looked comfortable--in
white."
00000015.txt,"and joseph, tormented
into this course, put on his hat and went out.

"
00000015.txt,"the
little that seems lacking is woman's care, the brush of attentive
fingers here and there, the turning of a fold in the high-collared coat,
and a mere touch on the neckerchief and shirt-frill."
00000015.txt,"another, his cousin,
charlie mandarin, a tall, very slender, bronzed gentleman in a flannel
hunting-shirt and buckskin leggings, is walking, in moccasins, with a
sweet lady in whose tasteful attire feminine scrutiny, but such only,
might detect economy, but whose marked beauty of yesterday is retreating
and reappearing in the flock of children who are noisily running round
and round them, nominally in the care of three fat and venerable black
nurses."
00000015.txt,"the other, a man of perhaps
thirty-three or thirty-four years of age, was extremely handsome and
well dressed, the martial fashion of the day showing his tall and finely
knit figure to much advantage."
00000015.txt,"as they seemed about to pass the spot
where he sat, m. grandissime interrupted the governor with a word and,
turning his horse's head, rode up to the bench, lifting his hat as
he came.

"
00000015.txt,"""

m. grandissime lifted his hat and turned."
00000015.txt,"frowenfeld saw within
the carriage two men, one in citizen's dress, the other in a brilliant
uniform."
00000015.txt,"the immigrant glanced at
citizen fusilier, expecting to see the greeting returned with great
haughtiness; instead of which that person uncovered his leonine head,
and, with a solemn sweep of his cocked hat, bowed half his length."
00000015.txt,"she said piteously, and laughed in her sleeve.

who could hope to catch and reproduce the continuous lively thrill which
traversed the frame of the escaped book-worm as every moment there was
repeated to his consciousness the knowledge that he was walking across
the vault of heaven with the evening star on his arm--at least, that he
was, at her instigation, killing time along the dim, ill-lighted
_trottoirs_ of the rue chartres, with aurora listening sympathetically
at his side."
00000015.txt,"but therein
is where your true creole was, and still continues to be, properly, yea,
delightfully un-american; the outside of his house may be as rough as
the outside of a bird's nest; it is the inside that is for the birds;
and the front room of this house, when the daughter presently threw open
the batten shutters of its single street door, looked as bright and
happy, with its candelabra glittering on the mantel, and its curtains of
snowy lace, as its bright-eyed tenants.

"
00000015.txt,"""

""i am _not_ an old man, sir!""

""i said _young_ man.""

""i am not a _young_ man, sir!""

""i wonder who the fellow was,"" continued doctor keene, as he readjusted
the ripped sleeve.

"
00000015.txt,"achille touched his hat, bowed and waved his hand to joseph,
and shook hands with the doctor, and saying, ""well, good-night."
00000015.txt,"the human life which dotted the view displayed a
variety of tints and costumes such as a painter would be glad to take
just as he found them: the gayly feathered indian, the slashed and
tinselled mexican, the leather-breeched raftsmen, the blue-or
yellow-turbaned _negresse_, the sugar-planter in white flannel and
moccasins, the average townsman in the last suit of clothes of the
lately deceased century, and now and then a fashionable man in that
costume whose union of tight-buttoned martial severity, swathed throat,
and effeminate superabundance of fine linen seemed to offer a sort of
state's evidence against the pompous tyrannies and frivolities of
the times.

"
00000015.txt,"dejection and hope struggled with each other in the gaze that was
returned; but when joseph said, with a countenance full of pity, ""i have
no power to help you,"" the disappointed lover merely looked fixedly for
a moment in the direction of the street, then lifted his hat toward his
head, bowed, and departed.




chapter xix

art and commerce


it was some two or three days after the interview just related that the
apothecary of the rue royale found it necessary to ask a friend to sit
in the shop a few minutes while he should go on a short errand."
00000015.txt,"""'sieur frowenfel',"" said aurora, as he raised his hat for good-day,
""you din come home yet."
00000015.txt,"""ow much you tink?""

""mr. innerarity, as an exercise it is worth whatever truth or skill it
has taught you; to a judge of paintings it is ten dollars' worth of
paint thrown away; but as an article of sale it is worth what it will
bring without misrepresentation.""

""two--hun-rade an'--fifty--dollahs or--not'in'!"" said the indignant
creole, clenching one fist, and with the other hand lifting his hat by
the front corner and slapping it down upon the counter."
00000015.txt,"the way he dovetailed story into story and drew
forward in panoramic procession lufki-humma and epaminondas fusilier,
zephyr grandissime and the lady of the _lettre de cachet_, demosthenes
de grapion and the _fille a l'hopital_, georges de grapion and the
_fille a la cassette_, numa grandissime, father of the two honores,
young nancanou and old agricola,--the way he made them

     ""knit hands and beat the ground
     in a light, fantastic round,""

would have shamed the skilled volubility of sheharazade.

"
00000015.txt,"they could dress delightfully on an incredibly small outlay;
could wear a well-to-do smile over an inward sigh of stifled hunger;
could tell the parents of their one or two scholars to consult their
convenience, and then come home to a table that would make any kind soul
weep; but as to estimating the velocity of bills-payable in their
orbits, such trained sagacity was not theirs."
