,File Name,Fashion Sentence,adjectives,nouns,noun_adj_map,suprisal
10,00000001.txt,"you have gone about peddling
your wooden nutmegs until you have got yourself into congress,
and now you pull them out of your pockets and not only want us to
take them at your own price, but you lecture us on our sins if we
don't.

well!","['wooden', 'own']","['nutmegs', 'pockets', 'price', 'sins']","[{'nutmegs': ['wooden'], 'price': ['own']}, {'nutmegs': ['wooden'], 'price': ['own']}]",5.938668251466921
11,00000001.txt,"there was something in the newspaper style so
inscrutably vulgar, something so inexplicably revolting to the
sense of feminine decency, that she shrank under it as though it
were a poisonous spider.","['vulgar', 'feminine', 'poisonous']","['newspaper', 'style', 'sense', 'decency', 'spider']","[{'decency': ['feminine'], 'spider': ['poisonous']}, {'decency': ['feminine'], 'spider': ['poisonous']}]",6.515231145386641
12,00000001.txt,"""oh, there are politicians in bulgaria, are there?"" asked the
senator, whose ideas of the roumanian and bulgarian
neighbourhood were vague, and who had a general notion that all
such people lived in tents, wore sheepskins with the wool inside,
and ate curds: ""oh, they have politicians there!","['roumanian', 'bulgarian', 'vague', 'general', 'such', 'ate']","['politicians', 'senator', 'ideas', 'neighbourhood', 'notion', 'people', 'tents', 'sheepskins', 'wool', 'curds', 'politicians']","[{'neighbourhood': ['roumanian'], 'notion': ['general'], 'people': ['such'], 'curds': ['ate']}, {'neighbourhood': ['roumanian'], 'notion': ['general'], 'people': ['such'], 'curds': ['ate']}, {'neighbourhood': ['roumanian'], 'notion': ['general'], 'people': ['such'], 'curds': ['ate']}, {'neighbourhood': ['roumanian'], 'notion': ['general'], 'people': ['such'], 'curds': ['ate']}]",6.494425372215862
13,00000001.txt,"then a pretty woman, with blue eyes and
blonde hair, dressed in black, and leading a little girl by the hand,
came on board, and carrington went to shake hands with her.","['pretty', 'blue', 'blonde', 'black', 'little']","['woman', 'eyes', 'hair', 'girl', 'hand', 'board', 'hands']","[{'woman': ['pretty'], 'eyes': ['blue'], 'hair': ['blonde'], 'girl': ['little']}, {'woman': ['pretty'], 'eyes': ['blue'], 'hair': ['blonde'], 'girl': ['little']}, {'woman': ['pretty'], 'eyes': ['blue'], 'hair': ['blonde'], 'girl': ['little']}, {'woman': ['pretty'], 'eyes': ['blue'], 'hair': ['blonde'], 'girl': ['little']}]",5.338855022977056
14,00000001.txt,"""you want half-tones!"" said madeleine to lord skye: ""are there not
half-tones enough to suit you on the walls of this house?","['half', 'half']","['tones', 'tones', 'walls', 'house']",[{'tones': ['half']}],7.677897842765349
15,00000001.txt,"mr. carrington,"" drawled miss dare; ""i do not need
it, and it does not become your style.",[],"['miss', 'dare', 'style']",[],8.290213866007639
16,00000001.txt,"on the other hand, he sent to a shoemaker in
alexandria to come and measure him for shoes.",['other'],"['hand', 'shoemaker', 'shoes']",[{'hand': ['other']}],6.731203518687139
17,00000001.txt,"only fools and theorists imagine that our
society can be handled with gloves or long poles.",['long'],"['fools', 'theorists', 'society', 'gloves', 'poles']",[{'poles': ['long']}],9.146687467304425
18,00000001.txt,"she declared herself to be the moral image of martha washington,
and she started a discussion whether carrington or lord dunbeg
would best suit her in the r�le of the general.

",['moral'],"['image', 'discussion', '�', 'general']",[{'image': ['moral']}],7.922827966887524
19,00000001.txt,"he
had been painted on many thousand yards of cotton sheeting,
either with a terrific sledge-hammer, smashing the skulls (which
figured as paving-stones) of his political opponents, or splitting by
gigantic blows a huge rock typical of the opposing party.","['many', 'terrific', 'sledge', 'political', 'gigantic', 'huge', 'typical']","['yards', 'cotton', 'hammer', 'skulls', 'stones', 'opponents', 'splitting', 'rock', 'party']","[{'hammer': ['terrific'], 'opponents': ['political'], 'rock': ['huge'], 'party': ['opposing']}, {'hammer': ['terrific'], 'opponents': ['political'], 'rock': ['huge'], 'party': ['opposing']}, {'hammer': ['terrific'], 'opponents': ['political'], 'rock': ['huge'], 'party': ['opposing']}, {'hammer': ['terrific'], 'opponents': ['political'], 'rock': ['huge'], 'party': ['opposing']}]",7.1206761177616595
20,00000001.txt,"he could be coarse enough to suit even the
president's palate, and ratcliffe was not behindhand.","['coarse', 'behindhand']","['president', 'palate', 'ratcliffe']",[],8.94505913501649
21,00000001.txt,"hence, when mrs. lightfoot lee was announced, and the two
sisters were ushered into the presidential parlour, she put on a
coldly patronizing air, and in reply to madeleine's hope that she
found washington agreeable, she intimated that there was much in
washington which struck her as awful wicked, especially the
women; and, looking at sybil, she spoke of the style of dress in
this city which she said she meant to do what she could to put a
stop to.","['presidential', 'much', 'awful', 'wicked']","['sisters', 'parlour', 'air', 'reply', 'hope', 'women', 'sybil', 'style', 'dress', 'city', 'stop']","[{'parlour': ['presidential'], 'air': ['patronizing']}, {'parlour': ['presidential'], 'air': ['patronizing']}]",6.156613609738117
22,00000001.txt,"at these remarks, made with an air
and in a temper quite unmistakable, madeleine became
exasperated beyond measure, and said that ""washington would be
pleased to see the president do something in regard to
dress-reform--or any other reform;"" and with this allusion to the
president's ante-election reform speeches, mrs. lee turned her
back and left the room, followed by sybil in convulsions of
suppressed laughter, which would not have been suppressed had
she seen the face of their hostess as the door shut behind them, and
the energy with which she shook her head and said: ""see if i don't
reform you yet, you--jade!""

mrs. lee gave ratcliffe a lively account of this interview, and he
laughed nearly as convulsively as sybil over it, though he tried to
pacify her by saying that the president's most intimate friends
openly declared his wife to be insane, and that he himself was the
person most afraid of her.","['unmistakable', 'pleased', 'other', 'lively', 'sybil', 'intimate', 'insane', 'afraid']","['remarks', 'air', 'temper', 'measure', 'president', 'regard', 'dress', 'reform', 'reform', 'allusion', 'president', 'ante', 'election', 'reform', 'speeches', 'room', 'sybil', 'convulsions', 'laughter', 'face', 'hostess', 'door', 'energy', 'head', 'jade', 'account', 'interview', 'president', 'friends', 'wife', 'person']","[{'reform': ['other'], 'laughter': ['suppressed'], 'account': ['lively'], 'friends': ['intimate']}, {'reform': ['other'], 'laughter': ['suppressed'], 'account': ['lively'], 'friends': ['intimate']}, {'reform': ['other'], 'laughter': ['suppressed'], 'account': ['lively'], 'friends': ['intimate']}, {'reform': ['other'], 'laughter': ['suppressed'], 'account': ['lively'], 'friends': ['intimate']}]",5.889980650938263
23,00000001.txt,"indeed he
knew better than any man how presidents were made, and he had
his own opinions in regard to the process as well as the fabric
produced.","['better', 'own']","['man', 'presidents', 'opinions', 'regard', 'process', 'fabric']",[{'opinions': ['own']}],6.375878418906733
24,00000001.txt,"he has an indiana
friend, who, i am told, wanted to be postmaster at indianapolis, but
as this did not suit the politicians, he was bought off at the
exorbitant price of the spanish mission.","['exorbitant', 'spanish']","['friend', 'postmaster', 'politicians', 'price', 'mission']","[{'friend': ['indiana'], 'price': ['exorbitant'], 'mission': ['spanish']}, {'friend': ['indiana'], 'price': ['exorbitant'], 'mission': ['spanish']}, {'friend': ['indiana'], 'price': ['exorbitant'], 'mission': ['spanish']}]",6.476561878236044
25,00000001.txt,"""cats that go ratting, don't wear gloves,"" replied gore, who always
carried a spanish proverb in his pocket.",['spanish'],"['cats', 'gloves', 'proverb', 'pocket']",[{'proverb': ['spanish']}],7.980072736192511
26,00000001.txt,"one march afternoon she was
sitting by her fire, with an english review in her hand, trying to
read the last symposium on the sympathies of eternal punishment,
when her servant brought in a card, and mrs. lee had barely time
to read the name of mrs. samuel baker when that lady followed
the servant into the room, forcing the countersign in so effective
style that for once madeleine was fairly disconcerted.","['english', 'last', 'eternal', 'effective']","['afternoon', 'fire', 'review', 'hand', 'symposium', 'sympathies', 'punishment', 'servant', 'card', 'time', 'name', 'lady', 'servant', 'room', 'countersign', 'style']","[{'review': ['english'], 'symposium': ['last'], 'punishment': ['eternal'], 'style': ['effective']}, {'review': ['english'], 'symposium': ['last'], 'punishment': ['eternal'], 'style': ['effective']}, {'review': ['english'], 'symposium': ['last'], 'punishment': ['eternal'], 'style': ['effective']}, {'review': ['english'], 'symposium': ['last'], 'punishment': ['eternal'], 'style': ['effective']}]",7.016862574186644
27,00000001.txt,"she
was, when seen without her veil, a showy woman verging on forty,
decidedly large, tall, over-dressed even in mourning, and with a
complexion rather fresher than nature had made it.

","['showy', 'large', 'tall', 'fresher']","['veil', 'woman', 'mourning', 'complexion', 'nature']",[{'woman': ['showy']}],6.888139751391263
28,00000001.txt,"the woman was showy, handsome in
a coarse style, and perfectly presentable.","['handsome', 'coarse', 'presentable']","['woman', 'style']",[{'style': ['coarse']}],8.31836742595388
29,00000001.txt,"and occasionally, when carrington
could spare the time, he went as her guide and protector in these
country excursions; for every virginian, however out at elbows,
has a horse, as he has shoes or a shirt.

",[],"['time', 'guide', 'protector', 'country', 'excursions', 'virginian', 'elbows', 'horse', 'shoes', 'shirt']",[],7.9512154232389385
30,00000001.txt,"madeleine
dissected her own feelings and was always wondering whether
they were real or not; she had a habit of taking off her mental
clothing, as she might take off a dress, and looking at it as though
it belonged to some one else, and as though sensations were
manufactured like clothes.","['own', 'real', 'mental']","['feelings', 'habit', 'clothing', 'dress', 'sensations', 'clothes']","[{'feelings': ['own'], 'clothing': ['mental']}, {'feelings': ['own'], 'clothing': ['mental']}]",5.870868562913181
31,00000001.txt,"she was in imagination rushing with him down the valley of
virginia on the heels of our flying army, or gloomily toiling back
to the potomac after the bloody days at gettysburg, or watching
the last grand deb�cle on the road from richmond to appomattox.
","['bloody', 'last', 'grand']","['imagination', 'valley', 'heels', 'army', 'potomac', 'days', 'gettysburg', 'cle', 'road']","[{'army': ['flying'], 'days': ['bloody'], 'cle': ['last', 'grand']}, {'army': ['flying'], 'days': ['bloody'], 'cle': ['last', 'grand']}, {'army': ['flying'], 'days': ['bloody'], 'cle': ['last', 'grand']}]",7.133005210036712
32,00000001.txt,"he felt that ratclife had fairly out-generaled him, and he was at
his wits' end to know what card he could play that would not lead
directly into ratcliffe's trump suit.",[],"['ratclife', 'wits', 'end', 'card', 'trump', 'suit']",[],7.42996696535092
33,00000001.txt,"and when the evening came,
carrington took his hat and walked off to call upon mrs. lee.

",[],"['evening', 'hat']",[],7.0339273807358556
34,00000001.txt,"madeleine was dramatically mending an open-work silk stocking,
a delicate and difficult task which required her whole mind.","['open', 'delicate', 'difficult', 'whole']","['work', 'silk', 'stocking', 'task', 'mind']","[{'work': ['open'], 'task': ['delicate'], 'mind': ['whole']}, {'work': ['open'], 'task': ['delicate'], 'mind': ['whole']}, {'work': ['open'], 'task': ['delicate'], 'mind': ['whole']}]",8.550676775225137
35,00000001.txt,"new
york also gave a ball at which the princess appeared in an
ill-fitting black silk dress with mock lace and jet ornaments,
among several hundred toilets that proclaimed the refined
republican simplicity of their owners at a cost of various hundred
thousand dollars.","['fitting', 'black', 'mock', 'several', 'refined', 'republican', 'various']","['ball', 'princess', 'silk', 'dress', 'lace', 'jet', 'ornaments', 'toilets', 'simplicity', 'owners', 'cost', 'dollars']","[{'silk': ['black'], 'dress': ['fitting'], 'lace': ['mock'], 'simplicity': ['refined', 'republican'], 'dollars': ['various']}, {'silk': ['black'], 'dress': ['fitting'], 'lace': ['mock'], 'simplicity': ['refined', 'republican'], 'dollars': ['various']}, {'silk': ['black'], 'dress': ['fitting'], 'lace': ['mock'], 'simplicity': ['refined', 'republican'], 'dollars': ['various']}, {'silk': ['black'], 'dress': ['fitting'], 'lace': ['mock'], 'simplicity': ['refined', 'republican'], 'dollars': ['various']}, {'silk': ['black'], 'dress': ['fitting'], 'lace': ['mock'], 'simplicity': ['refined', 'republican'], 'dollars': ['various']}]",7.536713845019053
36,00000001.txt,"she set her at work on her dress several days
before there was any occasion for it, and this famous costume had
to be taken out, examined, criticised, and discussed with unending
interest.","['several', 'famous', 'unending']","['work', 'dress', 'days', 'occasion', 'costume', 'interest']","[{'days': ['several'], 'costume': ['famous'], 'interest': ['unending']}, {'days': ['several'], 'costume': ['famous'], 'interest': ['unending']}, {'days': ['several'], 'costume': ['famous'], 'interest': ['unending']}]",7.1738559051308535
37,00000001.txt,"she talked about the dress, and the princess, and the ball,
till her tongue clove to the roof of her mouth, and her brain refused
to act.",[],"['dress', 'princess', 'ball', 'tongue', 'clove', 'roof', 'mouth', 'brain']",[],5.840526007786758
38,00000001.txt,"one afternoon in early june of the preceding summer, mr. worth
had received a letter on the part of the reigning favourite of the
king of dahomey, directing him to create for her a ball-dress that
should annihilate and utterly destroy with jealousy and despair the
hearts of her seventy-five rivals; she was young and beautiful;
expense was not a consideration.","['early', 'young', 'beautiful']","['afternoon', 'summer', 'letter', 'part', 'favourite', 'king', 'ball', 'dress', 'jealousy', 'hearts', 'rivals', 'expense', 'consideration']","[{'summer': ['preceding'], 'favourite': ['reigning']}, {'summer': ['preceding'], 'favourite': ['reigning']}]",6.5911030116412785
39,00000001.txt,"an imperious order brought to his
private room every silk, satin, and gauze within the range of pale
pink, pale crocus, pale green, silver and azure.","['imperious', 'private', 'pale', 'pink', 'pale']","['order', 'room', 'silk', 'satin', 'gauze', 'range', 'silver', 'azure']","[{'order': ['imperious'], 'room': ['private']}, {'order': ['imperious'], 'room': ['private']}]",7.166237761628235
40,00000001.txt,"her bed, her low couch, her little tables, her
chintz arm-chairs, were covered with portions of the divinity,
down to slippers and handkerchief, gloves and bunches of fresh
roses.","['low', 'little', 'chintz', 'fresh']","['bed', 'couch', 'tables', 'arm', 'chairs', 'portions', 'divinity', 'slippers', 'handkerchief', 'gloves', 'bunches', 'roses']","[{'couch': ['low'], 'tables': ['little'], 'chairs': ['chintz'], 'roses': ['fresh']}, {'couch': ['low'], 'tables': ['little'], 'chairs': ['chintz'], 'roses': ['fresh']}, {'couch': ['low'], 'tables': ['little'], 'chairs': ['chintz'], 'roses': ['fresh']}, {'couch': ['low'], 'tables': ['little'], 'chairs': ['chintz'], 'roses': ['fresh']}]",6.593355984367581
41,00000001.txt,"young, happy, sparkling with consciousness of
youth and beauty, sybil stood, hebe anadyomene, rising from the
foam of soft creplisse which swept back beneath the long train of
pale, tender, pink silk, fainting into breadths of delicate primrose,
relieved here and there by facings of june green--or was it the blue
of early morning?","['young', 'happy', 'soft', 'long', 'tender', 'pink', 'delicate', 'early']","['consciousness', 'youth', 'beauty', 'sybil', 'foam', 'creplisse', 'train', 'silk', 'breadths', 'primrose', 'facings', 'blue', 'morning']","[{'creplisse': ['soft'], 'train': ['long'], 'silk': ['pale', 'tender', 'pink'], 'primrose': ['delicate'], 'morning': ['early']}, {'creplisse': ['soft'], 'train': ['long'], 'silk': ['pale', 'tender', 'pink'], 'primrose': ['delicate'], 'morning': ['early']}, {'creplisse': ['soft'], 'train': ['long'], 'silk': ['pale', 'tender', 'pink'], 'primrose': ['delicate'], 'morning': ['early']}, {'creplisse': ['soft'], 'train': ['long'], 'silk': ['pale', 'tender', 'pink'], 'primrose': ['delicate'], 'morning': ['early']}, {'creplisse': ['soft'], 'train': ['long'], 'silk': ['pale', 'tender', 'pink'], 'primrose': ['delicate'], 'morning': ['early']}]",7.303225382693479
42,00000001.txt,"mrs. lee toiled long and earnestly over her sister's toilet, for had
not she herself in her own day been the best-dressed girl in new
york?--at least, she held that opinion, and her old instincts came to
life again whenever sybil was to be prepared for any great
occasion.","['own', 'new', 'least', 'old', 'great']","['sister', 'toilet', 'day', 'girl', 'opinion', 'instincts', 'life', 'sybil', 'occasion']","[{'day': ['own'], 'girl': ['dressed'], 'instincts': ['old'], 'occasion': ['great']}, {'day': ['own'], 'girl': ['dressed'], 'instincts': ['old'], 'occasion': ['great']}, {'day': ['own'], 'girl': ['dressed'], 'instincts': ['old'], 'occasion': ['great']}, {'day': ['own'], 'girl': ['dressed'], 'instincts': ['old'], 'occasion': ['great']}]",6.65961264457778
43,00000001.txt,"schneidekoupon,
who was proud of his easy use of the latest artistic jargon, looked
with respect at mrs. lee's silver-gray satin and its venetian lace,
the arrangement of which had been conscientiously stolen from a
picture in the louvre, and he murmured audibly, ""nocturne in
silver-gray!""--then, turning to sybil--""and you?","['proud', 'easy', 'latest', 'artistic', 'silver', 'gray', 'venetian', 'nocturne']","['use', 'respect', 'satin', 'lace', 'arrangement', 'picture', 'louvre', 'silver', 'gray!""--then']","[{'use': ['easy'], 'satin': ['gray'], 'lace': ['venetian']}, {'use': ['easy'], 'satin': ['gray'], 'lace': ['venetian']}, {'use': ['easy'], 'satin': ['gray'], 'lace': ['venetian']}]",6.96315651990581
44,00000001.txt,"jacobi, after a close scrutiny, said that he took
the liberty of an old man in telling them that they were both
dressed absolutely without fault.","['close', 'old']","['scrutiny', 'liberty', 'man', 'fault']","[{'scrutiny': ['close'], 'man': ['old']}, {'scrutiny': ['close'], 'man': ['old']}]",7.13137825415955
45,00000001.txt,"each da�s had a canopy of
red velvet, one bearing the lion and the unicorn, the other the
american eagle.","['red', 'other']","['canopy', 'velvet', 'lion', 'unicorn', 'eagle']","[{'velvet': ['red'], 'eagle': ['other', 'american']}, {'velvet': ['red'], 'eagle': ['other', 'american']}]",6.846831582445827
46,00000001.txt,"she had, too, the ill-luck to make one or two remarks which
appealed to some hidden sense of humour in the princess, who
laughed and, in the style of royal personages, gave her to
understand that she would like more amusement of the same sort.
","['hidden', 'royal', 'more', 'same']","['luck', 'remarks', 'sense', 'humour', 'princess', 'style', 'personages', 'amusement', 'sort']","[{'luck': ['ill'], 'sense': ['hidden'], 'personages': ['royal'], 'amusement': ['more'], 'sort': ['same']}, {'luck': ['ill'], 'sense': ['hidden'], 'personages': ['royal'], 'amusement': ['more'], 'sort': ['same']}, {'luck': ['ill'], 'sense': ['hidden'], 'personages': ['royal'], 'amusement': ['more'], 'sort': ['same']}, {'luck': ['ill'], 'sense': ['hidden'], 'personages': ['royal'], 'amusement': ['more'], 'sort': ['same']}, {'luck': ['ill'], 'sense': ['hidden'], 'personages': ['royal'], 'amusement': ['more'], 'sort': ['same']}]",5.842219692932455
47,00000001.txt,"if
there was a more perfect dress, madeleine knew nothing of
dressing.",['perfect'],['dress'],[{'dress': ['perfect']}],7.915579930049561
48,00000001.txt,"his shirts no longer
protruded in the wrong places, nor were his shirt-collars frayed or
soiled.",['wrong'],"['shirts', 'places', 'shirt', 'collars']",[{'places': ['wrong']}],6.824371336173747
49,00000001.txt,"ratcliffe felt the sting, and it started him from his
studied calmness of manner.

rising from his chair he stood on the hearthrug before mrs. lee,
and broke out upon her with an oration in that old senatorial voice
and style which was least calculated to enlist her sympathies:

","['old', 'senatorial']","['sting', 'calmness', 'manner', 'chair', 'hearthrug', 'oration', 'voice', 'style', 'sympathies']","[{'calmness': ['studied'], 'voice': ['old', 'senatorial']}, {'calmness': ['studied'], 'voice': ['old', 'senatorial']}]",7.659337475084235
50,00000001.txt,"ratcliffe saw that he had gained an advantage, and, sitting down
nearer to her, he dropped his voice and urged his suit still more
energetically:

""you did me justice then; why not do it now?",[],"['advantage', 'voice', 'suit', 'justice']",[],6.1164343349129435
51,00000001.txt,"the sound of
your voice--the touch of your hand--even the rustle of your
dress--are like wine to me.",[],"['sound', 'voice', 'touch', 'hand', 'rustle', 'dress', 'wine']",[],5.700901892683786
52,00000001.txt,"i wore a lovely
new dress, and was a great success, i assure you.","['lovely', 'new', 'great']","['dress', 'success']","[{'dress': ['lovely', 'new'], 'success': ['great']}, {'dress': ['lovely', 'new'], 'success': ['great']}]",7.424989787434951
53,00000003.txt,"through a row of button-woods on the northern skirt of the
village is seen a square, lap-streaked building, painted a
disagreeable brown, and surrounded on three sides by a platform,--one
of seven or eight similar stations strung like indian heads on a
branch thread of the great sagamore railway.

","['northern', 'square', 'disagreeable', 'similar', 'indian', 'great']","['row', 'button', 'woods', 'skirt', 'village', 'lap', 'building', 'brown', 'sides', 'platform,--one', 'stations', 'heads', 'branch', 'thread', 'sagamore', 'railway']","[{'skirt': ['northern'], 'building': ['square', 'streaked'], 'brown': ['disagreeable'], 'stations': ['similar'], 'heads': ['indian'], 'railway': ['great']}, {'skirt': ['northern'], 'building': ['square', 'streaked'], 'brown': ['disagreeable'], 'stations': ['similar'], 'heads': ['indian'], 'railway': ['great']}, {'skirt': ['northern'], 'building': ['square', 'streaked'], 'brown': ['disagreeable'], 'stations': ['similar'], 'heads': ['indian'], 'railway': ['great']}, {'skirt': ['northern'], 'building': ['square', 'streaked'], 'brown': ['disagreeable'], 'stations': ['similar'], 'heads': ['indian'], 'railway': ['great']}, {'skirt': ['northern'], 'building': ['square', 'streaked'], 'brown': ['disagreeable'], 'stations': ['similar'], 'heads': ['indian'], 'railway': ['great']}, {'skirt': ['northern'], 'building': ['square', 'streaked'], 'brown': ['disagreeable'], 'stations': ['similar'], 'heads': ['indian'], 'railway': ['great']}]",7.05754679007475
54,00000003.txt,"this finger, gleaming, motionless, and awful in its precision,
points to the body of old mr. lemuel shackford, who lies there dead
in his night-dress, with a gash across his forehead.

in the darkness of that summer night a deed darker than the night
itself had been done in stillwater.






","['awful', 'old', 'dead', 'darker']","['finger', 'gleaming', 'motionless', 'precision', 'points', 'body', 'night', 'dress', 'gash', 'forehead', 'darkness', 'summer', 'night', 'deed', 'night', 'stillwater']",[],6.666658429818328
55,00000003.txt,"then, when all was over, the imprisoned fiend in the boilers gave
a piercing shriek; the leather bands slipped on the revolving drums,
the spindles leaped into life again, and the old order of things was
reinstated,--outwardly, but not in effect.

in general, when the grave closes over a man his career is ended.
","['imprisoned', 'old', 'general']","['fiend', 'boilers', 'shriek', 'leather', 'bands', 'drums', 'spindles', 'life', 'order', 'things', 'effect', 'grave', 'man', 'career']","[{'fiend': ['imprisoned'], 'shriek': ['piercing'], 'drums': ['revolving'], 'order': ['old']}, {'fiend': ['imprisoned'], 'shriek': ['piercing'], 'drums': ['revolving'], 'order': ['old']}, {'fiend': ['imprisoned'], 'shriek': ['piercing'], 'drums': ['revolving'], 'order': ['old']}, {'fiend': ['imprisoned'], 'shriek': ['piercing'], 'drums': ['revolving'], 'order': ['old']}]",6.274310968751985
